YES-1,fullsem,EC456,Reinforcement learning,Dr. Dibyajyoti,-,-.1,3-1-0-0-4,C404,-.2,z
YES-1,fullsem,DS401,Health Care Data Analytics,Dr. Girish G N,"Vimal, Chaitra",-,3-1-0-0-4,C002,-,
YES-2,fullsem,EC462,Generative AI,Dr. Chinmayananda A,Shraddha,-,3-1-0-0-4,C403,-,
YES-2,fullsem,EC465,Hands on CMOS Analog and RF circuit design,Dr. Rajesh Kumar,-,-,3-1-0-0-4,C404,-,
YES-2,fullsem,PH454,Quantum (AI+Gen AI),Dr. Ashwath Babu,-,-,3-1-0-0-4,C406,-,
YES-3,fullsem,CS457,DevOps and its Applications,Dr. Shirshendu Layek,Vinod Konnur,-,3-1-0-0-4,C003,-,
YES-3,fullsem,DS458,Agentic AI,Dr. Sunil Saumya,Vimal N B,-,3-1-0-0-4,C404,-,
YES-3,fullsem,CS468,Information Retrieval,Dr. Krishnendu,-,-,3-1-0-0-4,C405,-,
YES-3,fullsem,CS473,Cloud SRE and Security,Dr. Malay,-,-,3-1-0-0-4,C406,-,
YES-3,fullsem,New,Software Defined Networks,Dr. Jagadeesha R Bhat,-,-,3-1-0-0-4,C407,-,
YES-4,fullsem,CS470,AI for cybersecurity,Dr. Abdul Wahid,-,-,3-1-0-0-4,C402,-,
YES-4,fullsem,DS102,Finance and Accounting,Dr. Anushree,"Shrirang Pujari, Priyanka",-,3-1-0-0-4,C004,-,
YES-4,fullsem,MA452,Operation Research,Dr. Anand B,-,-,3-1-0-0-4,C405,-,
YES-4,fullsem,EC463,Energy Efficient Neural Networks,Dr. Jagadish D N,-,-,3-1-0-0-4,C406,-,
